Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Latitude,Longitude,point
2018/09/28 07:55:00 PM,2018/09/28,19:55,2018,Friday,2018/09/28 07:55:00 PM,71985312168,719853,171040787,173592612,IS,Initial Supplement,,12168,Weapons Carrying Etc,Weapons Offense,"Firearm, Loaded, in Vehicle, Possession or Use",Cite or Arrest Adult,BOARDMAN PL \ BRYANT ST,23914000,Southern,South of Market,6,37.7751608100771,-122.40363551943442,"(37.7751608100771, -122.40363551943442)"
2018/09/28 07:55:00 PM,2018/09/28,19:55,2018,Friday,2018/09/28 07:55:00 PM,71985362050,719853,171040787,173592612,IS,Initial Supplement,,62050,Warrant,Warrant,"Warrant Arrest, Enroute To Outside Jurisdiction",Cite or Arrest Adult,BOARDMAN PL \ BRYANT ST,23914000,Southern,South of Market,6,37.7751608100771,-122.40363551943442,"(37.7751608100771, -122.40363551943442)"
2018/09/28 03:40:00 PM,2018/09/28,15:40,2018,Friday,2018/09/28 03:48:00 PM,71985404134,719854,180736286,182712471,II,Initial,,04134,Assault,Simple Assault,Battery,Open or Active,GEARY BLVD \ PRESIDIO AVE,26834000,Richmond,Lone Mountain/USF,2,37.782488031626265,-122.4458205129012,"(37.782488031626265, -122.4458205129012)"
2018/09/28 07:30:00 PM,2018/09/28,19:30,2018,Friday,2018/09/28 08:24:00 PM,71985507021,719855,180736963,182713670,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,OSAGE ALY \ 25TH ST,24085000,Mission,Mission,9,37.75060506722863,-122.41886139378913,"(37.75060506722863, -122.41886139378913)"
2018/09/28 07:25:00 PM,2018/09/28,19:25,2018,Friday,2018/09/28 07:25:00 PM,71985664020,719856,180736907,182713478,II,Initial,,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,17TH ST \ CAPP ST,24140000,Mission,Mission,9,37.76349643380175,-122.41848397609654,"(37.76349643380175, -122.41848397609654)"
2018/09/28 04:57:00 AM,2018/09/28,04:57,2018,Friday,2018/09/28 06:58:00 PM,71985706302,719857,180736850,182712055,II,Initial,,06302,Larceny Theft,Larceny Theft - From Building,"Theft, From Building, $50-$200",Open or Active,VALLEJO ST \ SCOTT ST,26869000,Northern,Pacific Heights,2,37.794597759927434,-122.44004521840408,"(37.794597759927434, -122.44004521840408)"
2018/09/28 05:00:00 PM,2018/09/28,17:00,2018,Friday,2018/09/28 06:45:00 PM,71985807054,719858,180728023,182682333,VS,Vehicle Supplement,,07054,Vehicle Misplaced,Vehicle Misplaced,"Vehicle, Misplaced",Unfounded,05TH AVE \ KIRKHAM ST,27074000,Park,Inner Sunset,5,37.760499230093906,-122.46177020196939,"(37.760499230093906, -122.46177020196939)"
2018/09/28 06:25:00 PM,2018/09/28,18:25,2018,Friday,2018/09/28 06:25:00 PM,71985905013,719859,180676836,182713221,IS,Initial Supplement,,05013,Burglary,Burglary - Residential,"Burglary, Apartment House, Unlawful Entry",Cite or Arrest Adult,09TH AVE \ CABRILLO ST,27280000,Richmond,Inner Richmond,1,37.77522282820805,-122.46708629614174,"(37.77522282820805, -122.46708629614174)"
2018/09/28 06:25:00 PM,2018/09/28,18:25,2018,Friday,2018/09/28 06:25:00 PM,71985928150,719859,180676836,182713221,IS,Initial Supplement,,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Cite or Arrest Adult,09TH AVE \ CABRILLO ST,27280000,Richmond,Inner Richmond,1,37.77522282820805,-122.46708629614174,"(37.77522282820805, -122.46708629614174)"
2018/09/28 07:37:00 PM,2018/09/28,19:37,2018,Friday,2018/09/28 07:37:00 PM,71986065010,719860,180736941,182713524,II,Initial,,65010,Traffic Violation Arrest,Traffic Violation Arrest,Traffic Violation Arrest,Cite or Arrest Adult,TAYLOR ST \ EDDY ST,24925000,Tenderloin,Tenderloin,6,37.78414101130419,-122.41095161908784,"(37.78414101130419, -122.41095161908784)"
2018/09/28 07:37:00 PM,2018/09/28,19:37,2018,Friday,2018/09/28 07:37:00 PM,71986065016,719860,180736941,182713524,II,Initial,,65016,Other Miscellaneous,Other,"Driving, License Suspended or Revoked",Cite or Arrest Adult,TAYLOR ST \ EDDY ST,24925000,Tenderloin,Tenderloin,6,37.78414101130419,-122.41095161908784,"(37.78414101130419, -122.41095161908784)"
2018/09/28 11:30:00 AM,2018/09/28,11:30,2018,Friday,2018/09/28 11:42:00 AM,71986162050,719861,180735539,182711435,II,Initial,,62050,Warrant,Warrant,"Warrant Arrest, Enroute To Outside Jurisdiction",Cite or Arrest Adult,ROBERT KIRK LN \ POST ST,24658000,Central,Financial District/South Beach,3,37.78880666343667,-122.40434399232349,"(37.78880666343667, -122.40434399232349)"
2018/09/28 11:30:00 AM,2018/09/28,11:30,2018,Friday,2018/09/28 11:42:00 AM,71986163010,719861,180735539,182711435,II,Initial,,63010,Warrant,Other,"Warrant Arrest, Local SF Warrant",Cite or Arrest Adult,ROBERT KIRK LN \ POST ST,24658000,Central,Financial District/South Beach,3,37.78880666343667,-122.40434399232349,"(37.78880666343667, -122.40434399232349)"
2018/09/28 07:45:00 PM,2018/09/28,19:45,2018,Friday,2018/09/28 07:45:00 PM,71986364002,719863,180736935,182713547,II,Initial,,64002,Civil Sidewalks,Other,"Civil Sidewalks, Citation",Cite or Arrest Adult,ASHBURY ST \ HAIGHT ST,26338000,Park,Haight Ashbury,5,37.77000760474354,-122.44693382058489,"(37.77000760474354, -122.44693382058489)"
2018/09/28 07:57:00 PM,2018/09/28,19:57,2018,Friday,2018/09/28 07:57:00 PM,71986451040,719864,180736957,182713590,II,Initial,,51040,Non-Criminal,Non-Criminal,Aided Case,Open or Active,DAGGETT ST \ 07TH ST,23786000,Southern,Mission Bay,10,37.76716595597136,-122.39582644128664,"(37.76716595597136, -122.39582644128664)"
